,PRODUCT,NAME,CATEGORY_ID,BRAND_ID,CATEGORY_NAME,BRAND_NAME,TYPE,SUBJECT,TEXT,POSTED_DATE,RATING,BENEFITS,DRAWBACKS,RECOMMENDED,LIKES_COUNT,DISLIKES_COUNT
0,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Небольшая симпатичная морозильная камера, нашла в интернет-магазине, но покупать пришлось все-равно в реальном))) по скидке. Из плюсов: хорошие, глубокие 2 верхних ящика, пластик ничем не пахнет, быстро замораживает продукты. Из минусов: шумная, время, когда выключается мотор, считаю праздником, хотя выставили по уровню и сняли держатель для шнура, нижний ящик немного неудобен: высокий и узкий - большие контейнера не входят, а маленькие утрамбовываются штабелями. Привезли быстро, оформляли доставку, хотя она довольно дорогая.",02.09.2013,4.0,,,0,30,26
1,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Пользуемся месяц. Искали недорогую маленькую морозильную камеру, чтобы влезла под столешницу, не встраеваемую (т.к.фасады кухни крашенные и не стали заморачиваться с дверцей). Ящики удобные и вместительные",17.09.2017,5.0,"низкая цена по сравнению с другими с такими же качествами.  Отсутствует накладная ручка тоже плюс, т.к. поставили под столешницу. Не скажу, что бесшумна, но тихо работает",Пока не нашла,0,1,0
2,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Морозилка хорошая, подошла по высоте кухонного гарнитура. Пользуюсь месяц, не гудит, есть защита от детей. Морозит быстро. Советую.",25.08.2017,4.7,,,0,1,0
3,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"4 года назад началась моя любовь с Либхером с такой камеры. что хочу сказать... работает, морозит, хорошо моется (это несомненно плюс, так как стоит она у мамы в деревне), достаточно полезного объема. Починю маме старую Бирюсу, эту заберу к себе)))",07.08.2017,5.0,Морозит))),"За 4 года выросла цена в 1,5 раза",0,1,1
4,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Искал родителям для использования на даче. Удалось приобрести по акции. Компактный морозильник. Вместительные ящики, которые при необходимости можно извлечь,  занять весь объем камеры (например, тушей, либо поставить большую емкость). Долго сохраняет холод в случае отключения электроэнергии (актуально для деревни).",26.02.2017,4.7,"Компактный морозильник. Вместительные ящики, которые при необходимости можно извлечь,  занять весь объем камеры (например, тушей, либо поставить большую емкость). Долго сохраняет холод в случае отключения электроэнергии (актуально для деревни).",Пока не выявлены,0,1,0
5,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,,19.02.2017,5.0,"Отлично работает. А главное тихо,не гремит как некоторые....",За свои деньги одни плюсы,0,1,0
6,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Впечатление качественного товара с первой минуты пользования,  приятные на вид, прозрачные выдвижные лотки, что позволяет управляться с содержимым с удовольствием. Отсутствие дверной ручки считаю большим плюсом, не торчит ничего, а значит и не отвалится со временем. Радиатор охлаждения находится сзади, что считаю минусом или устаревшей конструкцией, на моём древнем холодильнике задняя стенка наглухо закрыта, а охлаждение производится по боковым стенкам, чисто и нет паутины. Работает тихо, но уверяю Вас в спальне его не поставишь это точно. В целом очень доволен приобретением.",06.02.2017,5.0,Выдвижные прозрачные лотки. Отсутствие ручки двери. Перевешиваемая дверь. Внешний вид. Цена.,Устаревшая модель. Не  инвертор. Охлаждение сзади.,0,1,0
7,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"морозилка отличная берите не пожалеете работает бесшумно вместительна на табло видна заданная температура а не которая в морозилке на данный момент, ящики ходят легко их можно убрать есть стеклянные полки, задние ножки не регулируются передние да",29.01.2017,5.0,включается и выключается  тихо без всяких щелчков стоит в спальне тишина,хоть  и шарю в технике но программирование непонятное может и придираюсь,0,1,0
8,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Купил данный морозильник по акции,сразу скажу по поводу повышенного шума у некоторых комментаторов,морозильник не шумный,уровень шума оценю как средний,его практически не слышно на расстоянии 2 метров.Собран качественно,каких то косяков в сборке и работе пока не наблюдаю,управление электронное, но простое.Покупкой доволен.Если в целом оценить товар,то можно сказать что это добротный морозильник,звезд с неба не хватает,но свою цену полностью оправдывает.",23.01.2017,4.7,"Качественный пластик,запах дешевого пластика отсутствует.",Каких то заметных минусов нет.,0,0,0
9,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Пользуюсь 2 год, работает без проблем, морозит на ура!",19.01.2017,5.0,,,0,1,0
10,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"Отличная камера,рекомендую!",19.01.2017,5.0,"Морозит,замечательно,вместительная",нет,0,1,0
11,20025017,Морозильная камера Liebherr G 1213-20                                ,4020301,313,FREEZERS                                ,Liebherr        ,review,,"купили на новый год , по акции, выбирали очень долго, остановились на нём, он чудо, компактный, тихий, вместительный, он практически бесшумный стоит в жилой комнате, люди берите не пожалеете!",19.01.2017,5.0,все плюсы,нет,0,2,0
